Question,Réponse,Lien,Catégorie,Rating,Processed_Question
Quels sont les horaires des cours d’informatique ?,Les horaires sont disponibles sur le portail étudiant. Consultez la section Horaires.,http://iset.example.com/horaires,Horaires,0,quel horair cour dinformat
Quand commence le semestre ?,Le semestre commence le 1er septembre. Vérifiez le calendrier universitaire.,http://iset.example.com/calendrier,Horaires,0,quand commenc semestr
À quelle heure est le cours d’Algorithmique ?,Le cours d’Algorithmique est prévu le lundi de 8h à 10h. Consultez le portail.,http://iset.example.com/horaires,Horaires,0,quel heur cour dalgorithm
Y a-t-il des cours le samedi ?,Certains cours pratiques ont lieu le samedi. Vérifiez votre emploi du temps.,http://iset.example.com/horaires,Horaires,0,atil cour samed
Quel est l’horaire du cours de Python le lundi ?,Le cours de Python est de 10h à 12h en salle A-101. Consultez le portail.,http://iset.example.com/horaires,Horaires,0,quel lhorair cour python lund
Où trouver l’emploi du temps de Génie Civil ?,"L’emploi du temps est sur le portail étudiant, section Génie Civil.",http://iset.example.com/horaires,Horaires,0,où trouv lemploi temp gen civil
Quand a lieu le cours de Réseaux ?,Le cours de Réseaux est le mercredi de 14h à 16h. Vérifiez le portail.,http://iset.example.com/horaires,Horaires,0,quand a lieu cour réseau
Les cours sont-ils en ligne ou en présentiel ?,"La plupart des cours sont en présentiel, certains en ligne. Consultez le portail.",http://iset.example.com/horaires,Horaires,0,cour sontil lign présentiel
Qui enseigne le cours de Programmation Python ?,Le cours est enseigné par le Pr. Dupont. Consultez le programme.,http://iset.example.com/programmes,Professeurs,0,enseign cour programm python
Comment contacter un professeur ?,Les coordonnées des professeurs sont sur le portail enseignant.,http://iset.example.com/enseignants,Professeurs,0,comment contact professeur
Qui est le responsable du département Génie Civil ?,Le Pr. Martin est responsable. Contactez-le via le portail.,http://iset.example.com/departements,Professeurs,0,respons départ gen civil
Quels sont les horaires de bureau des professeurs ?,Les horaires de bureau sont sur le portail enseignant.,http://iset.example.com/enseignants,Professeurs,0,quel horair bureau professeur
Qui enseigne Bases de données ?,Le cours est enseigné par Mme. Leclerc. Consultez le programme.,http://iset.example.com/programmes,Professeurs,0,enseign bas don
Comment prendre rendez-vous avec un professeur ?,Envoyez un email via le portail enseignant pour un rendez-vous.,http://iset.example.com/enseignants,Professeurs,0,comment prendr rendezvous professeur
Qui est le coordinateur des cours d’informatique ?,Le coordinateur est le Pr. Dubois. Contactez-le via le portail.,http://iset.example.com/departements,Professeurs,0,coordin cour dinformat
Où se déroule le cours de Bases de données ?,Le cours a lieu en salle B-204. Vérifiez l’affichage des salles.,http://iset.example.com/salles,Salles,0,où déroul cour bas don
Y a-t-il des salles libres pour étudier ?,Les salles libres sont indiquées sur le planning des salles.,http://iset.example.com/salles,Salles,0,atil sall libr étudi
Comment réserver une salle pour un projet ?,Les réservations se font via le bureau administratif.,http://iset.example.com/salles,Salles,0,comment réserv sall projet
Où trouver le plan des salles de l’ISET ?,"Le plan des salles est sur le site, section Infrastructures.",http://iset.example.com/infrastructures,Salles,0,où trouv plan sall liset
Quelle salle pour le cours de Mécanique ?,Le cours de Mécanique est en salle C-302. Vérifiez le planning.,http://iset.example.com/salles,Salles,0,quel sall cour mécan
Les salles ont-elles des projecteurs ?,La plupart des salles sont équipées de projecteurs. Vérifiez avec l’administration.,http://iset.example.com/salles,Salles,0,sall ontel projecteur
Quelles sont les branches disponibles à l’ISET ?,"Les branches incluent Informatique, Génie Civil, et Gestion. Voir le site.",http://iset.example.com/branches,Branches,0,quel branch disponibl liset
Quels cours sont proposés en Génie Civil ?,Les cours incluent Mécanique des structures et Hydraulique. Consultez le programme.,http://iset.example.com/programmes/genie-civil,Branches,0,quel cour propos gen civil
Quelles sont les options en Informatique ?,"Les options incluent Réseaux, Développement logiciel, et Data Science.",http://iset.example.com/programmes/informatique,Branches,0,quel option informat
Est-il possible de changer de branche ?,"Oui, soumettez une demande au bureau académique avant la date limite.",http://iset.example.com/administration,Branches,0,estil possibl chang branch
Quels sont les prérequis pour la branche Gestion ?,Les prérequis sont indiqués dans le programme de Gestion.,http://iset.example.com/programmes/gestion,Branches,0,quel prérequ branch gestion
Quand aura lieu l’examen de Mathématiques ?,Les dates des examens sont publiées sur le calendrier universitaire.,http://iset.example.com/examens,Examens,0,quand lieu lexamen mathémat
Comment s’inscrire aux examens ?,L’inscription se fait via le portail étudiant avant la date limite.,http://iset.example.com/examens,Examens,0,comment sinscrir examen
